tweet_text,sentiment,tweet_text_en,sentiment_pt,sentiment_en
@Tixaa23 14 para eu ir :),Positivo,i ' m immediate trame ma23 to go .,Positive,Neutral
@drexalvarez O meu like eu já dei na época :),Positivo,it played drearte as my lkekeket in the time .,Positive,Positive
Eu só queria conseguir comer alguma coisa pra poder dormir :),Positivo,"i just wanted to eat something to sleep , but i just wanted to sleep .",Positive,Neutral
:D que lindo dia !,Positivo,"d : d , d ' s beautiful .",Positive,Positive
"@Primo_Resmungao Pq da pr jeito!!é uma ""oferta"", ha q aproveitar. :P",Positivo,"i ' m proud of the smokes of purchase , you ' ll be a jarath . it ' s a transtruction of transgnor : hav : purchase .",Positive,Positive
"@BadWolf_Wagner @DanieVedo Eu entendi, mas isso foi mais porque eu pensei em outra coisa. :P",Positivo,"i tried to pull out the bubbles of wagnery woreergieve me , but that was more because i thought about something else : plaw .",Positive,Neutral
@Chyko661 @g1 [+] Carcinoma Hepatico (Cancer de Figado). Deivison lutou contra a doença por um ano e faleceu ontem a tarde. Espero que minha explicaçao tenha te ajudado. :),Positivo,"i ' m shocked chkolaly1 geometer , whicking hypenter . i gave him a year and killed yesterday . i hope my own explanation : ( applause ) thuk .",Negative,Negative
"Aquela mina da limpeza, que tinha um marido com meu problema me adicionou aqui no face, esquisito a princípio mas ah, nega velha e pa, veio perguntar como eu tô :) Ela deve ter tomado as dor, me viu malzao e pá.",Positivo,"that rain from the raining mine , that had a husband with my problem with medicized here , and i ' m really oddly listening to the malware , and i ' m going to ask as to ask me , she ' s got to make me sleep , she should have shizzzzzh .",Negative,Negative
"@narryfools aqui, espero que você melhore logo :) https://t.co/OBiMIrbU9F",Positivo,"i ' m immediate thing about the golds here , i hope you ' ll be better at it : https : / tub / republican .",Positive,Positive
@fefocaires se és feliz trabalhando nisso então não pare se as pessoas se incomodam com sua opinião é pq elas te dão ouvido e seu trabalho tem um grande alcance :),Positivo,it ' s immediate thing that you ' re happy to work on it so that you do n ' t think if you ' re incommoding with your opinion and pquis you ' re heard and your job has a big range .,Positive,Positive
vamos se seguir no insta? se quiser sdv :) #TercaDetremuraSDV,Positivo,let ' s go next instand ? if you want sediv : ( applause ) # abrirvidt .,Positive,Positive
